Column1;id;geometry;x;y;ulica;orientacne cislo;ulica_cislo;Typ budovy;Mestsk‡ ‹asé;M‰;Katastr‡lne œzemie;Pribliìnù po‹et bytov
3259;27882;POINT (21.2910261 48.6867452);21.2910261;48.6867452;Jenisejsk‡;43;Jenisejsk‡ 43;Bytovù dom;Koäice-Nad jazerom;Nad jazerom;Jazero;61.0
3260;27884;POINT (21.2917318 48.6868798);21.2917318;48.6868798;Jenisejsk‡;45;Jenisejsk‡ 45;Bytovù dom;Koäice-Nad jazerom;Nad jazerom;Jazero;18.0
3261;27896;POINT (21.2610689 48.7532144);21.2610689;48.7532144;Na Demetri;2;Na Demetri 2;Bytovù dom;Koäice-S’dlisko èahanovce;S’dlisko èahanovce;NovŽ èahanovce;1.0
3262;27897;POINT (21.2608812 48.7531048);21.2608812;48.7531048;Na Demetri;1;Na Demetri 1;Bytovù dom;Koäice-S’dlisko èahanovce;S’dlisko èahanovce;NovŽ èahanovce;1.0
3263;27903;POINT (21.2613505 48.7531914);21.2613505;48.7531914;Na Demetri;3;Na Demetri 3;Bytovù dom;Koäice-S’dlisko èahanovce;S’dlisko èahanovce;NovŽ èahanovce;1.0
3264;27836;POINT (21.2903387 48.6848711);21.2903387;48.6848711;Uralsk‡;5;Uralsk‡ 5;Bytovù dom;Koäice-Nad jazerom;Nad jazerom;Jazero;22.0
3265;27905;POINT (21.261549 48.7528873);21.261549;48.7528873;Na Demetri;5;Na Demetri 5;Bytovù dom;Koäice-S’dlisko èahanovce;S’dlisko èahanovce;NovŽ èahanovce;1.0
3266;27906;POINT (21.2613666 48.7527759);21.2613666;48.7527759;Na Demetri;6;Na Demetri 6;Bytovù dom;Koäice-S’dlisko èahanovce;S’dlisko èahanovce;NovŽ èahanovce;1.0
3267;27911;POINT (21.2649565 48.7570163);21.2649565;48.7570163;Bruselsk‡;9;Bruselsk‡ 9;Bytovù dom;Koäice-S’dlisko èahanovce;S’dlisko èahanovce;NovŽ èahanovce;12.0
3268;27914;POINT (21.2655016 48.7568346);21.2655016;48.7568346;Bruselsk‡;6;Bruselsk‡ 6;Bytovù dom;Koäice-S’dlisko èahanovce;S’dlisko èahanovce;NovŽ èahanovce;5.0
3269;27916;POINT (21.2658414 48.7569422);21.2658414;48.7569422;Bruselsk‡;4;Bruselsk‡ 4;Bytovù dom;Koäice-S’dlisko èahanovce;S’dlisko èahanovce;NovŽ èahanovce;24.0
3270;27917;POINT (21.2659733 48.7572458);21.2659733;48.7572458;Bruselsk‡;2;Bruselsk‡ 2;Bytovù dom;Koäice-S’dlisko èahanovce;S’dlisko èahanovce;NovŽ èahanovce;24.0
3271;27920;POINT (21.2658968 48.7570985);21.2658968;48.7570985;Bruselsk‡;3;Bruselsk‡ 3;Bytovù dom;Koäice-S’dlisko èahanovce;S’dlisko èahanovce;NovŽ èahanovce;24.0
3272;27928;POINT (21.2651868 48.758578);21.2651868;48.758578;AtŽnska;10;AtŽnska 10;Bytovù dom;Koäice-S’dlisko èahanovce;S’dlisko èahanovce;NovŽ èahanovce;14.0
3273;27930;POINT (21.2656328 48.7584821);21.2656328;48.7584821;AtŽnska;8;AtŽnska 8;Bytovù dom;Koäice-S’dlisko èahanovce;S’dlisko èahanovce;NovŽ èahanovce;14.0
3274;27874;POINT (21.2929054 48.6853511);21.2929054;48.6853511;Jenisejsk‡;59;Jenisejsk‡ 59;Bytovù dom;Koäice-Nad jazerom;Nad jazerom;Jazero;25.0
3275;27873;POINT (21.293062 48.6852292);21.293062;48.6852292;Jenisejsk‡;61;Jenisejsk‡ 61;Bytovù dom;Koäice-Nad jazerom;Nad jazerom;Jazero;25.0
